INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 133 packages in 64ms
Audited 126 packages in 666ms
run_start config=config/simulation_abx.yml days=1000 hospitals=6 susceptible=300 seed_carriers=40 micro_steps_per_day=12 micro_workers=300 seed=42
day=235 susceptible=0001 carriers=0299 avg_resistant_fraction=0.5935
day=236 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5946
day=237 susceptible=0002 carriers=0298 avg_resistant_fraction=0.5967
day=238 susceptible=0003 carriers=0297 avg_resistant_fraction=0.5979
day=239 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6008
day=240 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6046
day=241 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6086
day=242 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6147
day=243 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6175
day=244 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6212
day=245 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6255
day=246 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6231
day=247 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6283
day=248 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6320
day=249 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6347
day=250 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6341
day=251 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6381
day=252 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6470
day=253 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6491
day=254 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6531
day=255 susceptible=0002 carriers=0298 avg_resistant_fraction=0.6576
day=256 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6636
day=257 susceptible=0000 carriers=0300 avg_resistant_fraction=0.6690
day=258 susceptible=0001 carriers=0299 avg_resistant_fraction=0.6707
day=259 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6718
day=260 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6739
day=261 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6769
day=262 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6821
day=263 susceptible=0005 carriers=0295 avg_resistant_fraction=0.6841
day=264 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6870
day=265 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6832
day=266 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6888
day=267 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6940
day=268 susceptible=0004 carriers=0296 avg_resistant_fraction=0.6954
day=269 susceptible=0003 carriers=0297 avg_resistant_fraction=0.6979
day=270 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7000
day=271 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7031
day=272 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7085
day=273 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7118
day=274 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7150
day=275 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7182
day=276 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7228
day=277 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7250
day=278 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7268
day=279 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7296
day=280 susceptible=0002 carriers=0298 avg_resistant_fraction=0.7316
day=281 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7341
day=282 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7327
day=283 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7358
day=284 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7378
day=285 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7407
day=286 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7450
day=287 susceptible=0001 carriers=0299 avg_resistant_fraction=0.7483
day=288 susceptible=0000 carriers=0300 avg_resistant_fraction=0.7520
