INFO:    Environment variable SINGULARITY_DISABLE_CACHE is set, but APPTAINER_DISABLE_CACHE is preferred
Resolved 132 packages in 36ms
Audited 124 packages in 383ms
run_start config=/workspace/shared/config_realistic.yml days=365 hospitals=15 susceptible=9800 seed_carriers=200 micro_steps_per_day=12 micro_workers=300 seed=42
day=272 susceptible=0471 carriers=0359 avg_resistant_fraction=0.0003
day=273 susceptible=0489 carriers=0353 avg_resistant_fraction=0.0000
day=274 susceptible=0495 carriers=0351 avg_resistant_fraction=0.0005
day=275 susceptible=0488 carriers=0348 avg_resistant_fraction=0.0008
day=276 susceptible=0490 carriers=0347 avg_resistant_fraction=0.0006
day=277 susceptible=0495 carriers=0343 avg_resistant_fraction=0.0010
day=278 susceptible=0488 carriers=0350 avg_resistant_fraction=0.0012
day=279 susceptible=0489 carriers=0352 avg_resistant_fraction=0.0003
day=280 susceptible=0488 carriers=0355 avg_resistant_fraction=0.0012
day=281 susceptible=0482 carriers=0352 avg_resistant_fraction=0.0004
day=282 susceptible=0487 carriers=0339 avg_resistant_fraction=0.0003
day=283 susceptible=0497 carriers=0338 avg_resistant_fraction=0.0001
day=284 susceptible=0493 carriers=0336 avg_resistant_fraction=0.0001
day=285 susceptible=0490 carriers=0341 avg_resistant_fraction=0.0005
day=286 susceptible=0490 carriers=0344 avg_resistant_fraction=0.0001
day=287 susceptible=0496 carriers=0340 avg_resistant_fraction=0.0006
day=288 susceptible=0492 carriers=0337 avg_resistant_fraction=0.0004
day=289 susceptible=0465 carriers=0347 avg_resistant_fraction=0.0004
day=290 susceptible=0472 carriers=0352 avg_resistant_fraction=0.0006
day=291 susceptible=0463 carriers=0354 avg_resistant_fraction=0.0005
day=292 susceptible=0454 carriers=0354 avg_resistant_fraction=0.0005
day=293 susceptible=0453 carriers=0347 avg_resistant_fraction=0.0007
day=294 susceptible=0458 carriers=0340 avg_resistant_fraction=0.0007
day=295 susceptible=0456 carriers=0340 avg_resistant_fraction=0.0005
day=296 susceptible=0453 carriers=0339 avg_resistant_fraction=0.0003
day=297 susceptible=0449 carriers=0352 avg_resistant_fraction=0.0004
day=298 susceptible=0474 carriers=0349 avg_resistant_fraction=0.0009
day=299 susceptible=0468 carriers=0351 avg_resistant_fraction=0.0001
day=300 susceptible=0466 carriers=0348 avg_resistant_fraction=0.0003
day=301 susceptible=0458 carriers=0345 avg_resistant_fraction=0.0011
day=302 susceptible=0446 carriers=0350 avg_resistant_fraction=0.0002
day=303 susceptible=0439 carriers=0348 avg_resistant_fraction=0.0001
day=304 susceptible=0438 carriers=0346 avg_resistant_fraction=0.0011
day=305 susceptible=0438 carriers=0349 avg_resistant_fraction=0.0001
day=306 susceptible=0444 carriers=0354 avg_resistant_fraction=0.0005
day=307 susceptible=0451 carriers=0352 avg_resistant_fraction=0.0005
day=308 susceptible=0462 carriers=0345 avg_resistant_fraction=0.0012
day=309 susceptible=0455 carriers=0339 avg_resistant_fraction=0.0004
day=310 susceptible=0464 carriers=0334 avg_resistant_fraction=0.0003
day=311 susceptible=0454 carriers=0341 avg_resistant_fraction=0.0000
day=312 susceptible=0475 carriers=0332 avg_resistant_fraction=0.0008
day=313 susceptible=0475 carriers=0332 avg_resistant_fraction=0.0007
day=314 susceptible=0474 carriers=0333 avg_resistant_fraction=0.0000
day=315 susceptible=0477 carriers=0321 avg_resistant_fraction=0.0003
day=316 susceptible=0479 carriers=0313 avg_resistant_fraction=0.0005
day=317 susceptible=0482 carriers=0304 avg_resistant_fraction=0.0002
day=318 susceptible=0484 carriers=0308 avg_resistant_fraction=0.0012
day=319 susceptible=0478 carriers=0307 avg_resistant_fraction=0.0010
day=320 susceptible=0470 carriers=0312 avg_resistant_fraction=0.0002
day=321 susceptible=0462 carriers=0321 avg_resistant_fraction=0.0008
day=322 susceptible=0458 carriers=0318 avg_resistant_fraction=0.0010
day=323 susceptible=0436 carriers=0325 avg_resistant_fraction=0.0002
day=324 susceptible=0436 carriers=0314 avg_resistant_fraction=0.0002
day=325 susceptible=0438 carriers=0313 avg_resistant_fraction=0.0007
day=326 susceptible=0436 carriers=0315 avg_resistant_fraction=0.0009
day=327 susceptible=0427 carriers=0322 avg_resistant_fraction=0.0007
day=328 susceptible=0434 carriers=0313 avg_resistant_fraction=0.0006
day=329 susceptible=0436 carriers=0306 avg_resistant_fraction=0.0004
